,feicao_id,name,operador,titularida,categoria,tipo_grupo,tipo,cadastro,sigla_esta,nome_bacia,nome_bloco,sigla_camp,nome_campo,ambiente,ogr_fid,pos_anp,reclassifi,situacao,dat_inicio,dat_termin,dat_conclu,lat_4c,long_4c,latitude,longitude,datum_hori,tipo_coord,direcao,prof_vert,prof_sond,prof_medid,ref_profun,mesa_rotat,cota_altim,lamina_dag,datum_vert,uni_estrat,geo_grup_f,geo_form_f,geo_memb_f,cdpe,agp,pc,pag,p_conven,dur_perfur,p_digitais,p_process,p_espec,a_lateral,sismica,tempo_prof,dados_dire,teste_cabo,teste_form,canhoneio,testemunho,geoquimica,sig_sonda,nome_sonda,at_presal,creation_d,modificati,camada_id,geometry
161,1356326,8-RO-56HP-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281021206,RJ,Campos,RO,RO,RONCADOR,M,25789,S,,FECHADO,13/01/2005,00/01/1900,04/08/2005,,,,,SIRGAS2000,Definitiva,Horizontal,0,4541,4541,MR,25,1580,1580,NM,,,,,Existe,Existe,,,,Existe,,,Existe,,,,Existe,Existe,,,,,SS-51,LOUSIANA,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7941 -21.9832)
162,1356828,7-RO-16D-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281018884,RJ,Campos,RO,RO,RONCADOR,M,24304,S,PRODUTOR COMERCIAL DE PETRÓLEO,ABANDONADO TEMPORARIAMENTE SEM MONITORAMENTO,20/05/2000,00/01/1900,13/06/2000,,,,,SIRGAS2000,Definitiva,Direcional,0,4109,4109,MR,25,1816,1816,NM,,,,,,,,,,,Existe,,,,,,Existe,,,,,,SS-51,LOUSIANA,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7263 -21.9413)
163,1356885,7-RO-62HP-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281021418,RJ,Campos,RO,RO,RONCADOR,M,24385,S,,FECHADO,14/07/2005,00/01/1900,23/10/2005,,,,,SIRGAS2000,Definitiva,Horizontal,0,0,0,MR,25,1742,1742,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,SS-51,LOUSIANA,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7663 -21.9818)
164,1356886,8-RO-70HP-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281021991,RJ,Campos,RO,RO,RONCADOR,M,25768,S,INJEÇÃO DE ÁGUA,FECHADO,14/09/2006,00/01/1900,13/04/2007,,,,,SIRGAS2000,Definitiva,Horizontal,3123,0,4660,MR,25,1555,1555,NM,,,,,,Existe,,,,Existe,,,,,,,Existe,,,,,,SS-51,LOUSIANA,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.8002 -21.9602)
165,1356887,7-RO-77H-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281022382,RJ,Campos,RO,RO,RONCADOR,M,24405,S,PRODUTOR COMERCIAL DE PETRÓLEO,FECHADO,17/06/2007,03/11/2007,18/12/2007,,,,,SIRGAS2000,Definitiva,Horizontal,3010.5,0,4197.4,MR,24,1642,1642,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,SS-49,SEDCO 707,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7813 -21.9608)
166,1356888,8-RO-36-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281020216,RJ,Campos,RO,RO,RONCADOR,M,24247,S,,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,20/10/2002,15/11/2002,24/11/2002,,,,,SIRGAS2000,Definitiva,Vertical,0,3655,3655,MR,26.5,1857,1857,NM,,,,,,Existe,,,,Existe,Existe,,,,,,Existe,,,,,,SS-51,LOUSIANA,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.717 -21.9613)
167,1356942,7-RO-148-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281026866,RJ,Campos,,RO,RONCADOR,M,24308,S,PRODUTOR COMERCIAL DE PETRÓLEO,FECHADO,14/02/2013,27/05/2013,27/05/2013,,,,,SIRGAS2000,Definitiva,Vertical,3774,3804,3804,MR,30,1822,1822,NM,,Campos,Ubatuba,,Existe,,,,Existe,Existe,,,,,,,Existe,Existe,,,,,SS-70,SSV Victoria,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7157 -21.9308)
168,1356943,7-RO-107HPA-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281028855,RJ,Campos,,RO,RONCADOR,M,24323,S,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,08/08/2016,20/08/2016,20/08/2016,,,,,SIRGAS2000,Definitiva,Horizontal,3184,4287,4287,MR,14,1818,1818,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,Existe,,,Existe,,SS-79,LONE STAR,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7366 -21.962)
169,1356985,7-RO-66D-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281022144,RJ,Campos,RO,RO,RONCADOR,M,24260,S,PRODUTOR COMERCIAL DE PETRÓLEO,PRODUZINDO,11/01/2007,00/01/1900,20/05/2007,,,,,SIRGAS2000,Definitiva,Direcional,3435,0,3599,MR,25,1869,1869,NM,,,,,,,,,,Existe,,,,,,,Existe,Existe,,,,,P-23,PETROBRAS  XXIII,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7037 -21.9419)
170,1356988,8-RO-58HP-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281021246,RJ,Campos,RO,RO,RONCADOR,M,25778,S,PRODUTOR COMERCIAL DE PETRÓLEO,FECHADO,15/02/2005,01/11/2006,01/11/2006,,,,,SIRGAS2000,Definitiva,Horizontal,3013.69,0,4253,MR,25,1589,1589,NM,,,,,Existe,Existe,,,,Existe,,,,,,,Existe,,,,,,SS-51,LOUSIANA,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7906 -21.9597)
171,1357176,8-RO-171D-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281029518,RJ,Campos,,RO,RONCADOR,M,24258,S,INJEÇÃO DE ÁGUA,INJETANDO,19/12/2019,26/01/2020,03/03/2020,,,,,SIRGAS2000,Definitiva,Direcional,3626.01,3670,3670,MR,31,1872,1872,NM,,Campos,Ubatuba,,Existe,,,,Existe,Existe,,Existe,,,,,Existe,,,,,,NS-42,ODN II,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7065 -21.9448)
172,1357357,8-RO-170HP-RJS,Petrobras,Público,Injeção,producao,Explotatório,74281029623,RJ,Campos,,RO,RONCADOR,M,24852,S,INJEÇÃO DE ÁGUA,INJETANDO,14/08/2020,31/08/2020,03/10/2020,,,,,SIRGAS2000,Definitiva,Horizontal,3153.9,4523,4523,MR,32,1555,1555,NM,,Campos,Carapebus,,Existe,,,,,,,,,,,,,,,,,,NS-41,ODN I,N,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7795 -21.887)
173,1357441,3-RO-1-RJS,Petrobras,Público,Extensão,exploratorio,Exploratório,742810227100,RJ,Campos,RO,RO,RONCADOR,M,24547,N,EXTENSÃO PARA PETRÓLEO,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,29/01/1998,02/05/1998,02/05/1998,,,,,SIRGAS2000,Definitiva,Vertical,0,4024,0,MR,24,1838,1838,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,SS-49,SEDCO 707,,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7164 -21.9036)
174,1357605,7-RO-63HA-RJS,Petrobras,Público,Desenvolvimento,producao,Explotatório,74281021787,RJ,Campos,RO,RO,RONCADOR,M,24401,S,PRODUTOR COMERCIAL DE PETRÓLEO,FECHADO,14/04/2006,20/04/2006,20/04/2006,,,,,SIRGAS2000,Definitiva,Horizontal,0,0,4214,MR,25,1589,1589,NM,,,,,Existe,,,,,Existe,,,,,,,Existe,,,,,,SS-51,LOUSIANA,I,2025-03-10 00:00:00,2025-03-10 00:00:00,12,POINT (-39.7872 -21.9676)
